Name of this Candlestick Chart,,,,,,,,,
timeinterval,15,,,,,,,,
days to show,1,,,,,,,,
extension count,4,,,,,,,,
DATE,Open,High,Low,Close,New Date Indicator,Act_Org,Lmt_BL,TP_Green,SL_Red
5/31/2016 21:15,6.71,6.73,6.71,6.73,1,6.64,,,
5/31/2016 21:30,6.67,6.8,6.67,6.8,,6.64,,,
5/31/2016 21:45,6.79,6.8,6.74,6.76,,6.64,,,
5/31/2016 22:00,6.75,6.79,6.74,6.75,,6.64,,,
5/31/2016 22:15,6.75,6.77,6.75,6.75,,6.64,,,
5/31/2016 22:30,6.74,6.77,6.73,6.76,,6.64,,,
5/31/2016 22:45,6.77,6.78,6.75,6.76,,6.64,,,
5/31/2016 23:00,6.75,6.78,6.75,6.76,,6.64,,,
5/31/2016 23:15,6.77,6.8,6.75,6.78,,6.64,,,
5/31/2016 23:30,6.79,6.8,6.76,6.8,,6.64,,,
5/31/2016 23:45,6.8,6.82,6.78,6.82,,6.64,,,
6/1/2016 0:00,6.81,6.855,6.81,6.855,,6.64,,,
6/1/2016 0:15,6.86,6.87,6.85,6.85,,6.64,,,
6/1/2016 0:30,6.85,6.96,6.84,6.93,,6.64,,,
6/1/2016 0:45,6.93,6.93,6.89,6.89,,6.64,,,
6/1/2016 1:00,6.9,6.93,6.9,6.93,,6.64,,,
6/1/2016 1:15,6.92,6.92,6.88,6.91,,6.64,,,
6/1/2016 1:30,6.92,6.92,6.85,6.85,,6.64,,,
6/1/2016 1:45,6.85,6.85,6.77,6.78,,6.64,,,
6/1/2016 2:00,6.76,6.77,6.735,6.75,,6.64,,,
6/1/2016 2:15,6.75,6.76,6.74,6.76,,6.64,,,
6/1/2016 2:30,6.76,6.76,6.69,6.7,,6.64,,,
6/1/2016 2:45,6.7,6.71,6.6,6.63,,6.64,,,
6/1/2016 3:00,6.63,6.7,6.63,6.68,,,6.64,6.72,6.31
6/1/2016 3:15,6.68,6.69,6.66,6.67,,,,6.72,6.31
6/1/2016 3:30,6.67,6.69,6.65,6.67,,,,6.72,6.31
6/1/2016 3:45,6.67,6.76,6.67,6.69,,,,6.72,6.31
6/1/2016 4:15,6.69,6.69,6.69,6.69,,,,,6.31
6/1/2016 4:30,6.69,6.69,6.69,6.69,,,,,6.31
6/1/2016 21:15,6.52,6.52,6.52,6.52,1,6.5,,,
6/1/2016 21:30,6.59,6.69,6.57,6.61,,6.5,,,
6/1/2016 21:45,6.605,6.62,6.47,6.5,,6.5,,,
6/1/2016 22:00,6.495,6.52,6.46,6.51,,,6.5,6.7,6.25
6/1/2016 22:15,6.5,6.58,6.49,6.58,,,,6.7,6.25
6/1/2016 22:30,6.575,6.64,6.575,6.6,,,,6.7,6.25
6/1/2016 22:45,6.59,6.62,6.58,6.6,,,,6.7,6.25
6/1/2016 23:00,6.595,6.63,6.59,6.63,,,,6.7,6.25
6/1/2016 23:15,6.64,6.74,6.64,6.71,,,,6.7,6.25
6/1/2016 23:30,6.69,6.74,6.69,6.69,,,,,6.25
6/1/2016 23:45,6.7,6.74,6.69,6.735,,,,,6.25
6/2/2016 0:00,6.735,6.735,6.7,6.71,,,,,6.25
6/2/2016 0:15,6.715,6.72,6.7,6.71,,,,,6.25
6/2/2016 0:30,6.71,6.71,6.68,6.69,,,,,6.25
6/2/2016 0:45,6.68,6.7,6.68,6.7,,,,,6.25
6/2/2016 1:00,6.69,6.7,6.68,6.69,,,,,6.25
6/2/2016 1:15,6.7,6.7,6.65,6.69,,,,,6.25
6/2/2016 1:30,6.68,6.69,6.67,6.68,,,,,6.25
6/2/2016 1:45,6.68,6.685,6.665,6.675,,,,,6.25
6/2/2016 2:00,6.675,6.68,6.64,6.65,,,,,6.25
6/2/2016 2:15,6.65,6.66,6.63,6.65,,,,,6.25
6/2/2016 2:30,6.65,6.65,6.64,6.645,,,,,6.25
6/2/2016 2:45,6.64,6.67,6.64,6.67,,,,,6.25
6/2/2016 3:00,6.67,6.7,6.67,6.7,,,,,6.25
6/2/2016 3:15,6.7,6.7,6.65,6.655,,,,,6.25
6/2/2016 3:30,6.65,6.68,6.645,6.67,,,,,6.25
6/2/2016 3:45,6.67,6.685,6.66,6.66,,,,,6.25
