2016-03-29 12:02:07.181000 -----------------------------Chart data update starts---------------------------------
2016-03-29 12:02:07.193000 Read last date in chart data
2016-03-29 12:02:07.220000 Connecting to server host and port
2016-03-29 12:02:18.527000 Start session successfully.
2016-03-29 12:02:22.040000 Write 5-min OHLC
2016-03-29 12:02:22.052000 Write 5-min OHLC
2016-03-29 12:02:22.063000 Write 5-min OHLC
2016-03-29 12:02:22.075000 Write 5-min OHLC
2016-03-29 12:02:22.086000 Write 5-min OHLC
2016-03-29 12:02:22.097000 Write 5-min OHLC
2016-03-29 12:02:22.108000 Write 5-min OHLC
2016-03-29 12:02:22.119000 Write 5-min OHLC
2016-03-29 12:02:22.130000 Write 5-min OHLC
2016-03-29 12:02:22.141000 Write 5-min OHLC
2016-03-29 12:02:22.151000 Write 5-min OHLC
2016-03-29 12:02:22.162000 Write 5-min OHLC
2016-03-29 12:02:22.177000 Write 5-min OHLC
2016-03-29 12:02:22.187000 Write 5-min OHLC
2016-03-29 12:02:22.198000 Write 5-min OHLC
2016-03-29 12:02:22.209000 Write 5-min OHLC
2016-03-29 12:02:22.219000 Write 5-min OHLC
2016-03-29 12:02:22.231000 Write 5-min OHLC
2016-03-29 12:02:22.242000 Write 5-min OHLC
2016-03-29 12:02:22.253000 Write 5-min OHLC
2016-03-29 12:02:22.264000 Write 5-min OHLC
2016-03-29 12:02:22.275000 Write 5-min OHLC
2016-03-29 12:02:22.286000 Write 5-min OHLC
2016-03-29 12:02:22.297000 Write 5-min OHLC
2016-03-29 12:02:22.307000 Write 5-min OHLC
2016-03-29 12:02:22.319000 Write 5-min OHLC
2016-03-29 12:02:22.329000 Write 5-min OHLC
2016-03-29 12:02:22.340000 Write 5-min OHLC
2016-03-29 12:02:22.351000 Write 5-min OHLC
2016-03-29 12:02:22.362000 Write 5-min OHLC
2016-03-29 12:02:22.374000 Write 5-min OHLC
2016-03-29 12:02:22.384000 Write 5-min OHLC
2016-03-29 12:02:22.396000 Write 5-min OHLC
2016-03-29 12:02:22.407000 Write 5-min OHLC
2016-03-29 12:02:22.418000 Write 5-min OHLC
2016-03-29 12:02:22.428000 Write 5-min OHLC
2016-03-29 12:02:22.431000 Write 5-min OHLC
2016-03-29 12:02:22.433000 Write 5-min OHLC
2016-03-29 12:02:22.435000 Write 5-min OHLC
2016-03-29 12:02:22.437000 Write 5-min OHLC
2016-03-29 12:02:22.439000 Write 5-min OHLC
2016-03-29 12:02:22.441000 Write 5-min OHLC
2016-03-29 12:02:22.443000 Write 5-min OHLC
2016-03-29 12:02:22.445000 Write 5-min OHLC
2016-03-29 12:02:22.448000 Write 5-min OHLC
2016-03-29 12:02:22.450000 Write 5-min OHLC
2016-03-29 12:02:22.452000 Write 5-min OHLC
2016-03-29 12:02:22.454000 Write 5-min OHLC
2016-03-29 12:02:22.456000 Write 5-min OHLC
2016-03-29 12:02:22.458000 Write 5-min OHLC
2016-03-29 12:02:22.460000 Write 5-min OHLC
2016-03-29 12:02:22.462000 Write 5-min OHLC
2016-03-29 12:02:22.464000 Write 5-min OHLC
2016-03-29 12:02:22.466000 Write 5-min OHLC
2016-03-29 12:02:22.468000 Write 5-min OHLC
2016-03-29 12:02:22.470000 Write 5-min OHLC
2016-03-29 12:02:22.471000 Write 5-min OHLC
2016-03-29 12:02:22.473000 Write 5-min OHLC
2016-03-29 12:02:22.475000 Write 5-min OHLC
2016-03-29 12:02:22.478000 Write 5-min OHLC
2016-03-29 12:02:22.480000 Write 5-min OHLC
2016-03-29 12:02:22.482000 Write 5-min OHLC
2016-03-29 12:02:22.484000 Write 5-min OHLC
2016-03-29 12:02:22.485000 Write 5-min OHLC
2016-03-29 12:02:22.487000 Write 5-min OHLC
2016-03-29 12:02:22.489000 Write 5-min OHLC
2016-03-29 12:02:22.491000 Write 5-min OHLC
2016-03-29 12:02:22.493000 Write 5-min OHLC
2016-03-29 12:02:22.495000 Write 5-min OHLC
2016-03-29 12:02:22.499000 Write 5-min OHLC
2016-03-29 12:02:22.501000 Write 5-min OHLC
2016-03-29 12:02:22.503000 Write 5-min OHLC
2016-03-29 12:02:22.505000 Write 5-min OHLC
2016-03-29 12:02:22.508000 Write 5-min OHLC
2016-03-29 12:02:22.510000 Write 5-min OHLC
2016-03-29 12:02:22.512000 Write 5-min OHLC
2016-03-29 12:02:22.514000 Write 5-min OHLC
2016-03-29 12:02:22.516000 Write 5-min OHLC
2016-03-29 12:02:22.519000 Write 5-min OHLC
2016-03-29 12:02:22.521000 Write 5-min OHLC
2016-03-29 12:02:22.523000 Write 5-min OHLC
2016-03-29 12:02:22.525000 Write 5-min OHLC
